,ubicación,precio,detalles,tipo_vivienda,barrios,habitaciones,metros
3,Piso en calle de Arturo Soria  Costillares  Madrid,2000,4 hab 158 m exterior con ascensor,Piso,"Costillares, Madrid",4 hab, 158 m
4,Ático en calle de Mauricio Legendre  39  Castilla  Madrid,1350,3 hab 100 m Planta 13 exterior con ascensor,Ático,"Castilla, Madrid",3 hab, 100 m
5,Ático en Nuevos MinisteriosRíos Rosas  Madrid,3200,3 hab 140 m exterior con ascensor,Ático,"Ríos Rosas, Madrid",3 hab, 140 m
6,Piso en calle de Cáceres  Chopera  Madrid,1500,2 hab 87 m Planta 8 exterior con ascensor,Piso,"Chopera, Madrid",2 hab, 87 m
7,Piso en Palomas  Madrid,1900,3 hab 144 m Planta 2 exterior con ascensor,Piso,"Palomas, Madrid",3 hab, 144 m
8,Ático en calle Nenúfar  6  Berruguete  Madrid,1250,1 hab 70 m Planta 3 exterior con ascensor,Ático,"Berruguete, Madrid",1 hab, 70 m
9,Piso en Palomas  Madrid,2400,3 hab 144 m Planta 2 exterior con ascensor,Piso,"Palomas, Madrid",3 hab, 144 m
10,Piso en calle de San Nicolás  Palacio  Madrid,1650,1 hab 105 m Bajo exterior con ascensor,Piso,"Palacio, Madrid",1 hab, 105 m
11,Piso en MalasañaUniversidad  Madrid,3600,3 hab 180 m Planta 4 exterior con ascensor,Piso,"Universidad, Madrid",3 hab, 180 m
12,Piso en calle de Fernández de los Ríos  Gaztambide  Madrid,1600,1 hab 58 m Planta 13 interior con ascensor,Piso,"Gaztambide, Madrid",1 hab, 58 m
13,Piso en Ciudad Jardín  Madrid,2800,2 hab 175 m Planta 2 exterior con ascensor,Piso,"Ciudad Jardín, Madrid",2 hab, 175 m
14,Piso en calle de Amaniel  MalasañaUniversidad  Madrid,1200,2 hab 43 m Planta 3 interior con ascensor,Piso,"Universidad, Madrid",2 hab, 43 m
15,Ático en Recoletos  Madrid,5000,2 hab 180 m Planta 7 exterior con ascensor,Ático,"Recoletos, Madrid",2 hab, 180 m
16,Piso en calle Almagro  30  Almagro  Madrid,1350,1 hab 60 m Bajo interior con ascensor Publicado ayer,Piso,"Almagro, Madrid",1 hab, 60 m
17,Dúplex en Conde OrgazPiovera  Madrid,2800,2 hab 105 m Planta 4 exterior con ascensor,Dúplex,"Piovera, Madrid",2 hab, 105 m
18,Piso en calle Bahía de Palma  14  Campo de las NacionesCorralejos  Madrid,1300,2 hab 110 m Planta 3 exterior con ascensor,Piso,"Corralejos, Madrid",2 hab, 110 m
19,Piso en calle de Sánchez Barcáiztegui  9  Pacífico  Madrid,1300,2 hab 54 m Planta 1 interior con ascensor,Piso,"Pacífico, Madrid",2 hab, 54 m
20,Piso en BernabéuHispanoamérica  Madrid,1500,2 hab 87 m Planta 2 exterior con ascensor,Piso,"Hispanoamérica, Madrid",2 hab, 87 m
21,Piso en calle Pintor Ignacio de Zuloaga  16  Sanchinarro  Madrid,1650,1 hab 51 m Planta 5 exterior con ascensor,Piso,"Sanchinarro, Madrid",1 hab, 51 m
22,Piso en calle de Núñez de Balboa  Castellana  Madrid,2800,3 hab 114 m Planta 2 exterior con ascensor,Piso,"Castellana, Madrid",3 hab, 114 m
23,Piso en calle de Trueba y Fernández  BernabéuHispanoamérica  Madrid,2400,2 hab 85 m Planta 3 exterior con ascensor,Piso,"Hispanoamérica, Madrid",2 hab, 85 m
24,Piso en plaza Nuestra Señora del Pilar  4  Prosperidad  Madrid,1350,2 hab 67 m Planta 2 exterior sin ascensor,Piso,"Prosperidad, Madrid",2 hab, 67 m
25,Piso en Entrevías  Madrid,890,2 hab 80 m Planta 1 exterior con ascensor,Piso,"Entrevías, Madrid",2 hab, 80 m
26,Piso en avenida del Ensanche de Vallecas  Ensanche de Vallecas  La Gavia  Madrid,1350,3 hab 110 m Planta 2 exterior con ascensor,Piso,"Gavia, Madrid",3 hab, 110 m
27,Piso en calle de Ferrer del Río  Guindalera  Madrid,2000,2 hab 100 m Planta 3 exterior con ascensor,Piso,"Guindalera, Madrid",2 hab, 100 m
28,Piso en calle Del Padre Claret  Prosperidad  Madrid,1250,2 hab 73 m Planta 1 exterior con ascensor,Piso,"Prosperidad, Madrid",2 hab, 73 m
29,Piso en Almagro  Madrid,2700,2 hab 117 m exterior con ascensor,Piso,"Almagro, Madrid",2 hab, 117 m
0,Piso en calle Del Padre Claret  Prosperidad  Madrid,1250,2 hab 73 m Planta 1 exterior con ascensor,Piso,"Prosperidad, Madrid",2 hab, 73 m
1,Piso en Almagro  Madrid,2700,2 hab 117 m exterior con ascensor,Piso,"Almagro, Madrid",2 hab, 117 m
2,Piso en calle de Yécora  Rejas  Madrid,1350,3 hab 120 m Planta 2 exterior con ascensor,Piso,"Rejas, Madrid",3 hab, 120 m
3,Piso en calle de Ayala  71  Goya  Madrid,2300,3 hab 91 m Planta 6 interior con ascensor,Piso,"Goya, Madrid",3 hab, 91 m
4,Piso en san secundino  Ventas  Madrid,850,2 hab 55 m Planta 2 exterior con ascensor,Piso,"Ventas, Madrid",2 hab, 55 m
5,Ático en calle de Cristóbal Bordiú  Nuevos MinisteriosRíos Rosas  Madrid,3800,3 hab 141 m Planta 6 exterior con ascensor,Ático,"Ríos Rosas, Madrid",3 hab, 141 m
6,Piso en tubas  Pau de Carabanchel  Madrid,1120,3 hab 108 m Bajo exterior con ascensor,Piso,"Carabanchel, Madrid",3 hab, 108 m
7,Chalet pareado en Conde OrgazPiovera  Madrid,4900,5 hab 450 m,Chalet,"Piovera, Madrid",5 hab, 450 m
8,Chalet adosado en Conde OrgazPiovera  Madrid,5200,5 hab 450 m Publicado ayer,Chalet,"Piovera, Madrid",5 hab, 450 m
9,Piso en calle Arroyo del Cañaveral  66  El Cañaveral  Madrid,1750,2 hab 90 m Planta 5 exterior con ascensor,Piso,"El Cañaveral, Madrid",2 hab, 90 m
10,Piso en calle de Vallehermoso  Vallehermoso  Madrid,850,1 hab 30 m Planta 5 interior con ascensor,Piso,"Vallehermoso, Madrid",1 hab, 30 m
11,Casa o chalet independiente en calle del Sotillo  Conde OrgazPiovera  Madrid,4000,7 hab 242 m,Chalet,"Piovera, Madrid",7 hab, 242 m
12,Piso en avenida de Brasilia  Guindalera  Madrid,1850,2 hab 100 m Planta 6 exterior con ascensor,Piso,"Guindalera, Madrid",2 hab, 100 m
13,Piso en calle de Isabel Clara Eugenia  39  Sanchinarro  Madrid,1950,2 hab 85 m Planta 3 exterior con ascensor,Piso,"Sanchinarro, Madrid",2 hab, 85 m
14,Piso en Arcos  Madrid,995,3 hab 83 m Planta 2 exterior con ascensor,Piso,"Arcos, Madrid",3 hab, 83 m
15,Casa o chalet independiente en ronda de la Abubilla  1  Conde OrgazPiovera  Madrid,4000,5 hab 242 m,Chalet,"Piovera, Madrid",5 hab, 242 m
16,Ático en calle Secoya  3  Pau de Carabanchel  Madrid,1400,2 hab 75 m Planta 6 exterior con ascensor,Ático,"Carabanchel, Madrid",2 hab, 75 m
17,Piso en CuzcoCastillejos  Madrid,3800,4 hab 246 m exterior con ascensor,Piso,"Castillejos, Madrid",4 hab, 246 m
18,Piso en calle de la Princesa  3  Argüelles  Madrid,1200,1 hab 71 m Planta 3 interior con ascensor,Piso,"Argüelles, Madrid",1 hab, 71 m
19,Estudio en calle de Calatrava  Palacio  Madrid,1100,40 m Bajo interior con ascensor,Estudio,"Palacio, Madrid",0 estudio,0 estudio
20,Ático en puerta del Sol  Sol  Madrid,1500,42 m Planta 5 exterior con ascensor Publicado ayer,Ático,"Sol, Madrid",0 estudio,0 estudio
21,Piso en calle de Calatrava  Palacio  Madrid,1790,2 hab 82 m Planta 2 interior con ascensor,Piso,"Palacio, Madrid",2 hab, 82 m
22,Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,1400,2 hab 68 m Planta 6 interior con ascensor,Piso,"Pacífico, Madrid",2 hab, 68 m
23,Piso en calle de Velázquez  Castellana  Madrid,4150,3 hab 196 m Planta 2 exterior con ascensor,Piso,"Castellana, Madrid",3 hab, 196 m
24,Piso en calle de Meléndez Valdés  Gaztambide  Madrid,2000,3 hab 75 m Planta 1 exterior con ascensor 22 horas,Piso,"Gaztambide, Madrid",3 hab, 75 m
25,Piso en calle Arroyo del Cañaveral  64  El Cañaveral  Madrid,840,1 hab 52 m Planta 4 exterior con ascensor,Piso,"El Cañaveral, Madrid",1 hab, 52 m
26,Piso en calle de la Paloma  Palacio  Madrid,1000,1 hab 40 m Planta 4 interior con ascensor,Piso,"Palacio, Madrid",1 hab, 40 m
27,Piso en Palacio  Madrid,4450,2 hab 178 m Planta 3 exterior con ascensor,Piso,"Palacio, Madrid",2 hab, 178 m
28,Piso en MalasañaUniversidad  Madrid,950,1 hab 30 m Planta 3 exterior sin ascensor,Piso,"Universidad, Madrid",1 hab, 30 m
29,Piso en ChuecaJusticia  Madrid,2200,1 hab 57 m exterior con ascensor,Piso,"Justicia, Madrid",1 hab, 57 m
0,Piso en Goya  Madrid,2800,3 hab 132 m Planta 1 exterior con ascensor 1 hora,Piso,"Goya, Madrid",3 hab, 132 m
1,Piso en calle de García de Paredes  Almagro  Madrid,4800,3 hab 149 m Planta 1 exterior con ascensor,Piso,"Almagro, Madrid",3 hab, 149 m
2,Ático en calle Lozoya  Arapiles  Madrid,1400,41 m interior con ascensor 2 horas,Ático,"Arapiles, Madrid",0 estudio,0 estudio
3,Dúplex en calle de San Bernardo  MalasañaUniversidad  Madrid,4100,2 hab 88 m Planta 4 exterior con ascensor 19 horas,Dúplex,"Universidad, Madrid",2 hab, 88 m
4,Piso en calle de Aristóteles  1  San Pascual  Madrid,1200,3 hab 90 m Planta 5 exterior con ascensor 3 horas,Piso,"San Pascual, Madrid",3 hab, 90 m
5,Piso en Lista  Madrid,2500,2 hab 95 m Planta 2 exterior con ascensor,Piso,"Lista, Madrid",2 hab, 95 m
6,Piso en avenida de la Reina Victoria  Vallehermoso  Madrid,1800,3 hab 100 m Planta 6 exterior con ascensor 4 horas,Piso,"Vallehermoso, Madrid",3 hab, 100 m
7,Piso en Recoletos  Madrid,3800,3 hab 145 m Planta 3 exterior con ascensor,Piso,"Recoletos, Madrid",3 hab, 145 m
8,Piso en Palacio  Madrid,1750,2 hab 70 m Planta 3 interior con ascensor 5 horas,Piso,"Palacio, Madrid",2 hab, 70 m
9,Piso en Nuevos MinisteriosRíos Rosas  Madrid,2190,3 hab 80 m Planta 4 exterior con ascensor,Piso,"Ríos Rosas, Madrid",3 hab, 80 m
10,Piso en Almagro  Madrid,1900,1 hab 89 m Entreplanta exterior con ascensor 6 horas,Piso,"Almagro, Madrid",1 hab, 89 m
11,Piso en Almagro  Madrid,1900,1 hab 95 m Entreplanta exterior con ascensor,Piso,"Almagro, Madrid",1 hab, 95 m
12,Piso en Ciudad Universitaria  Madrid,1600,2 hab 60 m Planta 8 exterior con ascensor 6 horas,Piso,"Ciudad Universitaria, Madrid",2 hab, 60 m
13,Piso en Nuevos MinisteriosRíos Rosas  Madrid,3900,4 hab 215 m Planta 3 exterior con ascensor,Piso,"Ríos Rosas, Madrid",4 hab, 215 m
14,Piso en plaza de Santa Catalina de los Donados  Sol  Madrid,2300,3 hab 127 m Bajo exterior con ascensor 9 horas,Piso,"Sol, Madrid",3 hab, 127 m
15,Ático en calle Archiduque Alberto  23  Sanchinarro  Madrid,1120,1 hab 64 m Planta 6 exterior con ascensor 20 horas,Ático,"Sanchinarro, Madrid",1 hab, 64 m
16,Piso en paseo de la Direccion  161  Valdeacederas  Madrid,2970,2 hab 100 m Planta 14 exterior con ascensor 9 horas,Piso,"Valdeacederas, Madrid",2 hab, 100 m
17,Piso en Ibiza  Madrid,2700,4 hab 157 m Planta 2 exterior con ascensor,Piso,"Ibiza, Madrid",4 hab, 157 m
18,Piso en calle de Diego de León  52  Lista  Madrid,3500,5 hab 220 m Planta 3 exterior con ascensor 8 horas,Piso,"Lista, Madrid",5 hab, 220 m
19,Casa o chalet independiente en calle de Arévalo Lara  Salvador  Madrid,2700,4 hab 200 m 04 sep,Chalet,"El Salvador, Madrid",4 hab, 200 m
20,Dúplex en calle Ana de Austria  101  Sanchinarro  Madrid,3375,3 hab 120 m Planta 1 exterior con ascensor 9 horas,Dúplex,"Sanchinarro, Madrid",3 hab, 120 m
21,Piso en calle de Hermosilla  Goya  Madrid,1365,2 hab 56 m Planta 1 interior con ascensor,Piso,"Goya, Madrid",2 hab, 56 m
22,Piso en Vicente Muzas  Colina  Madrid,1050,1 hab 65 m Planta 4 exterior con ascensor 9 horas,Piso,"Colina, Madrid",1 hab, 65 m
23,Piso en calle de Cartagena  Guindalera  Madrid,1300,1 hab 79 m Planta 4 exterior con ascensor,Piso,"Guindalera, Madrid",1 hab, 79 m
24,Piso en calle de Coslada  11  Guindalera  Madrid,1200,2 hab 70 m Planta 2 exterior con ascensor 9 horas,Piso,"Guindalera, Madrid",2 hab, 70 m
25,Piso en calle de Diego de León  Castellana  Madrid,3300,3 hab 169 m Planta 6 exterior con ascensor,Piso,"Castellana, Madrid",3 hab, 169 m
26,Piso en calle Villa del Prado  Delicias  Madrid,1280,2 hab 148 m Planta 4 exterior con ascensor 9 horas,Piso,"Delicias, Madrid",2 hab, 148 m
27,Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,1215,2 hab 76 m Planta 3 con ascensor 04 sep,Piso,"Sanchinarro, Madrid",2 hab, 76 m
28,Piso en Ibiza  Madrid,2400,3 hab 130 m Planta 3 sin ascensor 10 horas,Piso,"Ibiza, Madrid",3 hab, 130 m
29,Piso en Argüelles  Madrid,2000,1 hab 62 m Planta 2 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 62 m
0,Piso en calle Alonso Heredia  29  Guindalera  Madrid,1200,3 hab 98 m Planta 2 exterior con ascensor 10 horas,Piso,"Guindalera, Madrid",3 hab, 98 m
1,Piso en Argüelles  Madrid,2000,1 hab 62 m Planta 2 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 62 m
2,Piso en calle Sagasta  Trafalgar  Madrid,1750,1 hab 95 m Planta 5 exterior con ascensor 11 horas,Piso,"Trafalgar, Madrid",1 hab, 95 m
3,Piso en calle de Santa Isabel  42  LavapiésEmbajadores  Madrid,1490,2 hab 76 m Planta 3 exterior con ascensor 20 horas,Piso,"Embajadores, Madrid",2 hab, 76 m
4,Piso en Conde de Aranda  10  Recoletos  Madrid,8370,3 hab 180 m Planta 3 exterior con ascensor 11 horas,Piso,"Recoletos, Madrid",3 hab, 180 m
5,Piso en calle del Divino Pastor  MalasañaUniversidad  Madrid,1800,2 hab 77 m Planta 1 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 77 m
6,Piso en plaza de Arteijo  13  Pilar  Madrid,750,1 hab 40 m Planta 3 exterior con ascensor 11 horas,Piso,"Pilar, Madrid",1 hab, 40 m
7,Piso en calle Donoso Cortés  Gaztambide  Madrid,3000,5 hab 130 m Planta 5 exterior con ascensor,Piso,"Gaztambide, Madrid",5 hab, 130 m
8,Piso en Serrano  112  Castellana  Madrid,7650,3 hab 241 m Planta 3 exterior con ascensor 11 horas,Piso,"Castellana, Madrid",3 hab, 241 m
9,Piso en avenida del talgo  Aravaca  Madrid,1200,2 hab 70 m Planta 4 exterior con ascensor,Piso,"Aravaca, Madrid",2 hab, 70 m
10,Piso en avenida del Doctor Federico Rubio y Galí  Ciudad Universitaria  Madrid,900,2 hab 52 m Planta 2 exterior con ascensor 11 horas,Piso,"Ciudad Universitaria, Madrid",2 hab, 52 m
11,Piso en Estrella  Madrid,2500,3 hab 165 m exterior con ascensor,Piso,"Estrella, Madrid",3 hab, 165 m
12,Ático en calle Ferraz  37  Argüelles  Madrid,2000,3 hab 125 m Planta 7 exterior con ascensor 11 horas,Ático,"Argüelles, Madrid",3 hab, 125 m
13,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1395,3 hab 132 m Bajo exterior con ascensor,Piso,"El Cañaveral, Madrid",3 hab, 132 m
14,Piso en calle de Antonio de Leyva  76  Opañel  Madrid,930,1 hab 56 m Planta 4 exterior con ascensor 11 horas,Piso,"Opañel, Madrid",1 hab, 56 m
15,Piso en MalasañaUniversidad  Madrid,3100,3 hab 170 m exterior con ascensor,Piso,"Universidad, Madrid",3 hab, 170 m
16,Ático en San Carlos  6  LavapiésEmbajadores  Madrid,2430,2 hab 82 m Planta 2 exterior con ascensor 11 horas,Ático,"Embajadores, Madrid",2 hab, 82 m
17,Piso en Castilla  Madrid,3950,3 hab 171 m Planta 1 exterior con ascensor,Piso,"Castilla, Madrid",3 hab, 171 m
18,Piso en plaza de Corcubión  1  Pilar  Madrid,950,2 hab 52 m Planta 3 exterior con ascensor 11 horas,Piso,"Pilar, Madrid",2 hab, 52 m
19,Piso en Argüelles  Madrid,2500,1 hab 73 m Planta 12 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 73 m
20,Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980,1 hab 45 m Planta 6 interior con ascensor 12 horas,Dúplex,"Vallehermoso, Madrid",1 hab, 45 m
21,Piso en calle de Tribulete  LavapiésEmbajadores  Madrid,1100,2 hab 47 m Planta 2 exterior con ascensor,Piso,"Embajadores, Madrid",2 hab, 47 m
22,Piso en calle de las Delicias  Palos de Moguer  Madrid,1900,3 hab 81 m Planta 3 exterior sin ascensor 12 horas,Piso,"Palos de Moguer, Madrid",3 hab, 81 m
23,Piso en plaza de las Cortes  HuertasCortes  Madrid,1500,1 hab 60 m Planta 5 exterior con ascensor,Piso,"Cortes, Madrid",1 hab, 60 m
24,Piso en calle de María Panés  Nuevos MinisteriosRíos Rosas  Madrid,2190,3 hab 75 m Planta 4 exterior con ascensor 12 horas,Piso,"Ríos Rosas, Madrid",3 hab, 75 m
25,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1115,2 hab 94 m Planta 1 exterior con ascensor,Piso,"El Cañaveral, Madrid",2 hab, 94 m
26,Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895,3 hab 75 m Planta 2 exterior sin ascensor 12 horas,Piso,"San Isidro, Madrid",3 hab, 75 m
27,Piso en calle del Prado  HuertasCortes  Madrid,1490,2 hab 110 m Planta 1 interior con ascensor,Piso,"Cortes, Madrid",2 hab, 110 m
28,Piso en calle del Doctor Cortezo  LavapiésEmbajadores  Madrid,2200,4 hab 145 m Planta 4 exterior con ascensor 12 horas,Piso,"Embajadores, Madrid",4 hab, 145 m
29,Piso en calle de Francisco Silvela  Lista  Madrid,1590,1 hab 54 m Planta 1 exterior con ascensor,Piso,"Lista, Madrid",1 hab, 54 m
0,Piso en calle de Antonio de Leyva  76  Opañel  Madrid,930,1 hab 56 m Planta 4 exterior con ascensor 12 horas,Piso,"Opañel, Madrid",1 hab, 56 m
1,Piso en calle de Santa Isabel  42  LavapiésEmbajadores  Madrid,1490,2 hab 76 m Planta 3 exterior con ascensor 20 horas,Piso,"Embajadores, Madrid",2 hab, 76 m
2,Ático en San Carlos  6  LavapiésEmbajadores  Madrid,2430,2 hab 82 m Planta 2 exterior con ascensor 12 horas,Ático,"Embajadores, Madrid",2 hab, 82 m
3,Piso en calle del Divino Pastor  MalasañaUniversidad  Madrid,1800,2 hab 77 m Planta 1 exterior con ascensor,Piso,"Universidad, Madrid",2 hab, 77 m
4,Piso en plaza de Corcubión  1  Pilar  Madrid,950,2 hab 52 m Planta 3 exterior con ascensor 12 horas,Piso,"Pilar, Madrid",2 hab, 52 m
5,Piso en calle Donoso Cortés  Gaztambide  Madrid,3000,5 hab 130 m Planta 5 exterior con ascensor,Piso,"Gaztambide, Madrid",5 hab, 130 m
6,Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980,1 hab 45 m Planta 6 interior con ascensor 12 horas,Dúplex,"Vallehermoso, Madrid",1 hab, 45 m
7,Piso en avenida del talgo  Aravaca  Madrid,1200,2 hab 70 m Planta 4 exterior con ascensor,Piso,"Aravaca, Madrid",2 hab, 70 m
8,Piso en calle de las Delicias  Palos de Moguer  Madrid,1900,3 hab 81 m Planta 3 exterior sin ascensor 12 horas,Piso,"Palos de Moguer, Madrid",3 hab, 81 m
9,Piso en Estrella  Madrid,2500,3 hab 165 m exterior con ascensor,Piso,"Estrella, Madrid",3 hab, 165 m
10,Piso en calle de María Panés  Nuevos MinisteriosRíos Rosas  Madrid,2190,3 hab 75 m Planta 4 exterior con ascensor 12 horas,Piso,"Ríos Rosas, Madrid",3 hab, 75 m
11,Piso en calle Anna Frank  19  El Cañaveral  Madrid,1395,3 hab 132 m Bajo exterior con ascensor,Piso,"El Cañaveral, Madrid",3 hab, 132 m
12,Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895,3 hab 75 m Planta 2 exterior sin ascensor 12 horas,Piso,"San Isidro, Madrid",3 hab, 75 m
13,Piso en MalasañaUniversidad  Madrid,3100,3 hab 170 m exterior con ascensor,Piso,"Universidad, Madrid",3 hab, 170 m
14,Piso en calle del Doctor Cortezo  LavapiésEmbajadores  Madrid,2200,4 hab 145 m Planta 4 exterior con ascensor 12 horas,Piso,"Embajadores, Madrid",4 hab, 145 m
15,Piso en Castilla  Madrid,3950,3 hab 171 m Planta 1 exterior con ascensor,Piso,"Castilla, Madrid",3 hab, 171 m
16,Piso en calle de la Infanta Mercedes  Cuatro Caminos  Madrid,1495,3 hab 80 m Planta 7 exterior con ascensor 12 horas,Piso,"Cuatro Caminos, Madrid",3 hab, 80 m
17,Piso en Argüelles  Madrid,2500,1 hab 73 m Planta 12 exterior con ascensor,Piso,"Argüelles, Madrid",1 hab, 73 m
